warehouse,city,day,shipped_qty,unmet_demand
W1,Delhi,3,0.0,81.006544
W1,Delhi,4,0.0,81.006544
W1,Delhi,5,0.0,81.006544
W1,Delhi,6,0.0,81.006544
W1,Delhi,7,0.0,81.006544
W1,Delhi,8,0.0,87.867972
W1,Delhi,9,0.0,89.796544
W1,Delhi,10,0.0,91.339401
W1,Delhi,11,0.0,92.496544
W1,Delhi,12,0.0,93.267972
W1,Delhi,13,0.0,93.396544
W1,Delhi,14,0.0,93.010829
W1,Delhi,15,0.0,92.239401
W1,Delhi,16,0.0,90.953687
W1,Delhi,17,0.0,89.282258
W1,Delhi,18,0.0,87.225115
W1,Delhi,19,0.0,84.910829
W1,Delhi,20,0.0,82.467972
W1,Delhi,21,0.0,80.025115
W1,Delhi,22,0.0,77.582258
W1,Delhi,23,0.0,75.267972
W1,Delhi,24,0.0,73.210829
W1,Delhi,25,0.0,71.410829
W1,Delhi,26,0.0,69.996544
W1,Delhi,27,0.0,69.096544
W1,Delhi,28,0.0,68.582258
W1,Delhi,29,0.0,68.453687
W1,Delhi,30,0.0,68.967972
W1,Bangalore,1,0.0,0.0
W1,Bangalore,2,0.0,0.0
W1,Bangalore,3,0.0,0.0
W1,Bangalore,4,0.0,0.0
W1,Bangalore,5,0.0,0.0
W1,Bangalore,6,0.0,0.0
W1,Bangalore,7,0.0,0.0
W1,Bangalore,8,0.0,1.0578557
W1,Bangalore,9,0.0,2.7721414
W1,Bangalore,10,0.0,4.2007129
W1,Bangalore,11,0.0,5.2007129
W1,Bangalore,12,0.0,5.7721414
W1,Bangalore,13,0.0,5.9149986
W1,Bangalore,14,0.0,5.6292843
W1,Bangalore,15,0.0,4.9149986
W1,Bangalore,16,0.0,3.7721414
W1,Bangalore,17,0.0,2.34357
W1,Bangalore,18,0.0,0.48642715
W1,Bangalore,19,0.0,0.0
W1,Bangalore,20,0.0,0.0
W1,Bangalore,21,0.0,0.0
W1,Bangalore,22,0.0,0.0
W1,Bangalore,23,0.0,0.0
W1,Bangalore,24,0.0,0.0
W1,Bangalore,25,0.0,0.0
W1,Bangalore,26,0.0,0.0
W1,Bangalore,27,0.0,0.0
W1,Bangalore,28,0.0,0.0
W1,Bangalore,29,0.0,0.0
W1,Bangalore,30,0.0,0.0
W2,Mumbai,1,0.0,18.671667
W2,Mumbai,2,0.0,18.671667
W2,Mumbai,3,0.0,18.671667
W2,Mumbai,4,0.0,18.671667
W2,Mumbai,5,0.0,18.671667
W2,Mumbai,6,0.0,18.671667
W2,Mumbai,7,0.0,18.671667
W2,Mumbai,8,0.0,24.843096
W2,Mumbai,9,0.0,26.557382
W2,Mumbai,10,0.0,27.92881
W2,Mumbai,11,0.0,28.957382
W2,Mumbai,12,0.0,29.471667
W2,Mumbai,13,0.0,29.643096
W2,Mumbai,14,0.0,29.471667
W2,Mumbai,15,0.0,28.785953
W2,Mumbai,16,0.0,27.585953
W2,Mumbai,17,0.0,26.043096
W2,Mumbai,18,0.0,24.157382
W2,Mumbai,19,0.0,22.100239
W2,Mumbai,20,0.0,20.043096
W2,Mumbai,21,0.0,17.814525
W2,Mumbai,22,0.0,15.585953
W2,Mumbai,23,0.0,13.52881
W2,Mumbai,24,0.0,11.643096
W2,Mumbai,25,0.0,10.100239
W2,Mumbai,26,0.0,8.9002389
W2,Mumbai,27,0.0,7.8716675
W2,Mumbai,28,0.0,7.3573818
W2,Mumbai,29,0.0,7.3573818
W2,Mumbai,30,0.0,7.8716675
W2,Pune,1,5.0611919,55.772099
W2,Pune,2,5.0611919,55.772099
W2,Pune,3,5.0611919,55.772099
W2,Pune,4,5.0611919,55.772099
W2,Pune,5,5.0611919,55.772099
W2,Pune,6,5.0611919,55.772099
W2,Pune,7,5.0611919,55.772099
W2,Pune,8,0.0,65.474243
W2,Pune,9,0.0,66.731386
W2,Pune,10,0.0,67.674243
W2,Pune,11,0.0,68.459958
W2,Pune,12,0.0,68.774243
W2,Pune,13,0.0,68.774243
W2,Pune,14,0.0,68.459958
W2,Pune,15,0.0,67.988529
W2,Pune,16,0.0,67.202815
W2,Pune,17,0.0,66.102815
W2,Pune,18,0.0,64.845672
W2,Pune,19,1.5135729,61.917813
W2,Pune,20,3.65643,58.203528
W2,Pune,21,5.7992871,54.489242
W2,Pune,22,7.9421443,50.774956
W2,Pune,23,9.9421443,47.203528
W2,Pune,24,11.799287,43.932099
W2,Pune,25,13.370716,41.103528
W2,Pune,26,14.65643,38.874956
W2,Pune,27,15.65643,37.246385
W2,Pune,28,16.227859,36.360671
W2,Pune,29,16.227859,36.360671
W2,Pune,30,15.942144,36.960671
W2,Delhi,1,0.0,81.006544
W2,Delhi,2,0.0,81.006544
W2,Delhi,3,0.0,81.006544
W2,Delhi,4,0.0,81.006544
W2,Delhi,5,0.0,81.006544
W2,Delhi,6,0.0,81.006544
W2,Delhi,7,0.0,81.006544
W2,Delhi,8,0.0,87.867972
W2,Delhi,9,0.0,89.796544
W2,Delhi,10,0.0,91.339401
W2,Delhi,11,0.0,92.496544
W2,Delhi,12,0.0,93.267972
W2,Delhi,13,0.0,93.396544
W2,Delhi,14,0.0,93.010829
W2,Delhi,15,0.0,92.239401
W2,Delhi,16,0.0,90.953687
W2,Delhi,17,0.0,89.282258
W2,Delhi,18,0.0,87.225115
W2,Delhi,19,0.0,84.910829
W2,Delhi,20,0.0,82.467972
W2,Delhi,21,0.0,80.025115
W2,Delhi,22,0.0,77.582258
W2,Delhi,23,0.0,75.267972
W2,Delhi,24,0.0,73.210829
W2,Delhi,25,0.0,71.410829
W2,Delhi,26,0.0,69.996544
W2,Delhi,27,0.0,69.096544
W2,Delhi,28,0.0,68.582258
W2,Delhi,29,0.0,68.453687
W2,Delhi,30,0.0,68.967972
W2,Bangalore,1,77.938808,0.0
W2,Bangalore,2,77.938808,0.0
W2,Bangalore,3,77.938808,0.0
W2,Bangalore,4,77.938808,0.0
W2,Bangalore,5,77.938808,0.0
W2,Bangalore,6,77.938808,0.0
W2,Bangalore,7,77.938808,0.0
W2,Bangalore,8,83.0,1.0578557
W2,Bangalore,9,83.0,2.7721414
W2,Bangalore,10,83.0,4.2007129
W2,Bangalore,11,83.0,5.2007129
W2,Bangalore,12,83.0,5.7721414
W2,Bangalore,13,83.0,5.9149986
W2,Bangalore,14,83.0,5.6292843
W2,Bangalore,15,83.0,4.9149986
W2,Bangalore,16,83.0,3.7721414
W2,Bangalore,17,83.0,2.34357
W2,Bangalore,18,83.0,0.48642715
W2,Bangalore,19,81.486427,0.0
W2,Bangalore,20,79.34357,0.0
W2,Bangalore,21,77.200713,0.0
W2,Bangalore,22,75.057856,0.0
W2,Bangalore,23,73.057856,0.0
W2,Bangalore,24,71.200713,0.0
W2,Bangalore,25,69.629284,0.0
W2,Bangalore,26,68.34357,0.0
W2,Bangalore,27,67.34357,0.0
W2,Bangalore,28,66.772141,0.0
W2,Bangalore,29,66.772141,0.0
W2,Bangalore,30,67.057856,0.0
